occurrenceID,eventID,scientificName,eventDate,decimalLatitude,decimalLongitude,basisOfRecord,identificationConfidence
893ecc32-a599-456b-ac43-4b1121ca0260,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
05f2d428-cae6-4469-a0e5-df75e3b667d1,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
cff0135a-075e-409f-93c3-41d2be0728d9,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
02eb3ecc-80eb-4b65-a2ca-df0df7c887a4,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
0e3edd0e-41ac-4fd6-b1d7-3bb1547323f8,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
3ec169ab-1e7a-40eb-9046-55a3f0595535,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.486
8683b07b-a60b-4a80-82eb-b58838dec912,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.475
003fd69c-f314-4812-be16-573664b14e1b,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.216
f4644d0e-7ed3-4401-b519-14f757e6d6c4,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.216
ef588729-2c8c-4746-bcdf-0a99936528db,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.216
6f943aa7-859f-46de-be63-1aa40184fb5e,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.216
30471559-7092-44b8-ad0d-789394a52435,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.65
c777ba21-7488-49f9-98ca-198601d69df1,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.206
608766d8-5562-408b-a50d-7c74462abcf3,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
67900fd2-8d77-485c-9108-ef731832945c,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
228419ba-50ee-4d00-8f64-6b96801699ae,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
ed6bec44-9e95-4603-ad32-fdfd960dae85,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
83657d19-794a-4913-b0ee-3a62317887ab,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
b1669370-ad03-46d7-9cd6-b26b138f2c00,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
dbe26029-5d24-4fad-b90c-6a0f0fedc034,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.211
e5fe92c1-68ba-41dc-ba98-755c4338fe30,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.201
efc6d4e5-17a8-4b26-922b-7a0508758d17,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.627
a9df6fb0-d791-4e2c-90a4-f9471aa17a53,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.627
a75e558b-5e6a-43c8-9ae8-ebb398864890,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.627
8a5b8d70-66ff-463f-8ed8-cac00e7b0176,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.936
3f1ec80b-d362-4436-904f-037172c09905,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.936
ff9c8a3e-dceb-4aee-9140-bcdfd02592a3,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.936
00190c35-1aed-4e75-92fe-375be76f50fd,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.666
b981010b-0684-40ae-8cd4-061381247cc5,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.666
c1d8b7da-41c2-49aa-aad3-0182732ba094,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.666
4207adc1-452a-4ca9-bc37-44aae752c776,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.256
24d47c8e-8f7d-409a-80f8-558123bcee36,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.635
326837e5-f3b4-49c4-a4e5-84a9aee0722c,Lchura_2026-06-10_0600,Lesser Masked Weaver (Mairii),2026-06-10T06:00:00,1.1483,36.9701,MachineObservation,0.902
